title,likes,comm,uid,udate
놉 ,6,개인적으로는 앞전의 영화들보다 영상자체는 좋은 퀄리티였다고 생각해요. 하지만 뒤로갈수록 외계인의 존재가 너무 표면적이었어요. 영화를 전반과 후반으로 나눠보자면 전반은 4점 후반은 2점 정도에요. 신고,dkff****,22.08.23
모어 ,10,모지민이 감상포인트다. 신고,bds0****,22.08.23
한산: 용의 출현 ,10,해군 자원입대 마려워짐 신고,wnst****,22.08.23
스피드 ,1,여자 평점 5.92 이해가 안간다 신고,swgo****,22.08.23
만추 ,10,탕웨이의 감정연기가 가을과 어울려요~~^^ 신고,bmr8****,22.08.23
모어 ,10,신고,leew****,22.08.23
비상선언 ,6,마지막 30분 정도를 빼고는 너무 좋은 영화..아쉽네;;; 그래도 나쁘지 않음 신고,ahj0****,22.08.23
미니언즈2 ,10,미니언즈2 가1보다재미있고 너무재미있어 또보고싶다 신고,jjyt****,22.08.23
마녀(魔女) Part2. The Other One ,10,재미있다ㅎ 마녀3 기다려짐~ 신고,xm17****,22.08.23
한산: 용의 출현 ,10,기다림과 전술의 이어지는 전개를 다시 보러 극장에 또 가고 싶어요 신고,1023****,22.08.23
모어 ,10,너무 아름다워서 말을 잇지 못합니다 별 10점으로 대신 하겠습니다 영화는 영구 소장해서 두고 두고 보겠습니다 신고,bvin****,22.08.23
만추 ,1,"히~~야 이거 재미도 없는게 무슨 평점이9점이야No way다 (말도 안된다 )pppg님글에 동감합니다 진짜, 재미 드~~럽게 없다 별 한개도 아깝다 감독을 보니 뮈 그리 유명한 영화도 없구먼... 평점 닞음 감상포인트 없음 ㅋㅋㅋ 신고",sami****,22.08.23
한산: 용의 출현 ,8,"볼만했습니다만, 내용이 다소 지루한 감이 있습니다. ㅠ 전개가 느려요 신고",mink****,22.08.23
헌트 ,10,대한민국 최초 감독상 주연상 가능함 신고,kihe****,22.08.23
비상선언 ,9,뭐 지적할 것은 많이 있지만 간만에 가족끼리 볼 수 있는 영화라 높은 점수 드립니다 신고,1000****,22.08.23
놉 ,8,오랜만에 만족스러웠던 아이맥스 감상 이 영화야 말로 돈 룩 업 신고,wwxx****,22.08.23
모어 ,10,"벌써 다섯번째 관람입니다. 사람이라면 누구나 자기를 찾고, 자기로서 살아가야합니다. 누구에게든 증명을 요구할 자격같은 건 없습니다. 치열하게 자기를 찾고 사랑하는 사람의 이야기. 너무 아름다워 눈물겹습니다. 신고",mido****,22.08.23
어나더 레코드 : 이제훈 ,10,신선함.사람이제훈에 대해 알 수 있는 시간 신고,kazm****,22.08.23
한산: 용의 출현 ,6,너무 기대가 높았는지.. 신고,fall****,22.08.23
사운드 오브 뮤직 ,10,격이 다른 만점짜리 영화. 신고,hans****,22.08.23
카터 ,1,"어지럽고, 흐름끊겨, 굳이 왜 롱테이크를 고집하나요? 그거 편집점 가릴라고 카메라 줌인 줌아웃 너무하고 흔들고, 쓸데없는 광원 효과 넣고.. 폰으로 찍었나요? 화질 구려, 조명 엉망이라 잘 보이지도 않음. 하 정말 짜증남 스토리는 안드로메다로.. 세트장 엉성함에 실소를 금치 못함..최신판 성냥팔이 소녀의 재림. 보는 내내 고통스러움.. 신고",with****,22.08.23
봄날은 간다 ,10,우리의 봄날은 .. 갔다 신고,user****,22.08.23
카터 ,2,진짜 너무하네요 ㅜㅜ 외국사람들볼까무섭습니다.일부러 엉망징창을 연출한걸까요?뜻도없고 이유도없고 더빙은 무슨 엑스포 설명영상같은..목소리..어디까지 망가지나 끝까지봤지만 1분동안 말문이막히는영화 쎄이예쓰이후 오랜만이네요..정병길감독님 이거찍고 어그로끌어서 작품접으실건아니죠? 도무지 아직도이해가가질않습니다.슬프네요 신고,a370****,22.08.23
헤어질 결심 ,6,그냥 재미가 없다 이 영화에선 박해일이 매력이 없고 탕웨이도 마찬가지 신고,jowa****,22.08.23
월-E ,10,기계의 순정에 감동하게 되는 영화 신고,hans****,22.08.23
외계+인 1부 ,1,네이버 플러스 쿠폰으로 무료로 봤는데 본 시간이 아까웠다. 신고,gfor****,22.08.23
더 킬러: 죽어도 되는 아이 ,2,이걸보고 액션이 좋다는 애들은 머니 ㅋㅋㅋ연기 최악! 감동 최악! 액션은 너무 폼이 많이들감자연스럽지가 못하고 그냥 자기자신이 너무 멋있어보이기위한 힘이 들어가있음! 신고,2002****,22.08.23
헌트 ,10,존나 재밌다. 꼭 보세요 신고,yoon****,22.08.23
헌트 ,10,진짜 강추 꼭보세요. 오랜만에 숨멋 하면서 본영화 신고,nurs****,22.08.23
탑건: 매버릭 ,10,개꿀잼 영화 4디로 봣음 신고,ckdr****,22.08.23
모어 ,10,모어님의 아름다운 삶을 이렇게 돌아볼 수 있어 너무 감격적이에요이랑님의 노래와 함께 보는 모어님의 퍼포먼스도 너무 재미있고 아름답습니다친구들과 같이 보면서 꼬옥 행복하고 오래오래 살자고 다짐했어요모어님의 책도 있으니 함께 보시기를!! 신고,reca****,22.08.23
헌트 ,10,배우 이정제는 숨은 실력자감독이었다 신고,koke****,22.08.23
헌트 ,10,신고,soul****,22.08.23
